AGAP000184	AGAP000184-RA
AGAP000185	AGAP000185-RA
AGAP000186	AGAP000186-RA
AGAP000187	AGAP000187-RA
AGAP000188	AGAP000188-RA
AGAP000189	AGAP000189-RA
AGAP000190	AGAP000190-RA
AGAP000191	AGAP000191-RA
AGAP000192	AGAP000192-RA
AGAP000193	AGAP000193-RA
AGAP000194	AGAP000194-RA
AGAP000195	AGAP000195-RA
AGAP000196	AGAP000196-RA
AGAP000197	AGAP000197-RA
AGAP000198	AGAP000198-RA
AGAP000199	AGAP000199-RA
AGAP000200	AGAP000200-RA
AGAP000201	AGAP000201-RA
AGAP000202	AGAP000202-RA
AGAP000203	AGAP000203-RA
AGAP000204	AGAP000204-RA
AGAP000205	AGAP000205-RA
AGAP000206	AGAP000206-RA
AGAP000207	AGAP000207-RA
AGAP000208	AGAP000208-RA
AGAP000208	AGAP000208-RB
AGAP000209	AGAP000209-RA
AGAP000210	AGAP000210-RA
AGAP000211	AGAP000211-RA
AGAP000212	AGAP000212-RA
AGAP000213	AGAP000213-RA
AGAP000214	AGAP000214-RA
AGAP000215	AGAP000215-RA
AGAP000216	AGAP000216-RA
AGAP000217	AGAP000217-RA
AGAP000218	AGAP000218-RA
AGAP000219	AGAP000219-RA
AGAP000220	AGAP000220-RA
AGAP000221	AGAP000221-RA
AGAP000222	AGAP000222-RA
AGAP000223	AGAP000223-RA
AGAP000224	AGAP000224-RA
AGAP000225	AGAP000225-RA
AGAP000226	AGAP000226-RA
AGAP000227	AGAP000227-RA
AGAP000228	AGAP000228-RA
AGAP000229	AGAP000229-RA
AGAP000230	AGAP000230-RA
AGAP000231	AGAP000231-RA
AGAP000232	AGAP000232-RA
AGAP000233	AGAP000233-RA
AGAP000234	AGAP000234-RA
AGAP000235	AGAP000235-RA
AGAP000236	AGAP000236-RA
AGAP000237	AGAP000237-RA
AGAP000238	AGAP000238-RA
AGAP000239	AGAP000239-RA
AGAP000240	AGAP000240-RA
AGAP000241	AGAP000241-RA
AGAP000242	AGAP000242-RA
AGAP000243	AGAP000243-RA
AGAP000244	AGAP000244-RA
AGAP000245	AGAP000245-RA
AGAP000246	AGAP000246-RA
AGAP000247	AGAP000247-RA
AGAP000248	AGAP000248-RA
AGAP000249	AGAP000249-RA
AGAP000250	AGAP000250-RA
AGAP000251	AGAP000251-RA
AGAP000252	AGAP000252-RA
AGAP000253	AGAP000253-RA
AGAP000254	AGAP000254-RA
AGAP000255	AGAP000255-RA
AGAP000256	AGAP000256-RA
AGAP000257	AGAP000257-RA
AGAP000258	AGAP000258-RA
AGAP000259	AGAP000259-RA
AGAP000260	AGAP000260-RA
AGAP000261	AGAP000261-RA
AGAP000262	AGAP000262-RA
AGAP000263	AGAP000263-RA
AGAP000264	AGAP000264-RA
AGAP000265	AGAP000265-RA
AGAP000266	AGAP000266-RA
AGAP000267	AGAP000267-RA
AGAP000268	AGAP000268-RA
AGAP000269	AGAP000269-RA
AGAP000270	AGAP000270-RA
AGAP000271	AGAP000271-RA
AGAP000272	AGAP000272-RA
AGAP000273	AGAP000273-RA
AGAP000274	AGAP000274-RA
AGAP000275	AGAP000275-RA
AGAP000276	AGAP000276-RA
AGAP000277	AGAP000277-RA
AGAP000278	AGAP000278-RA
AGAP000279	AGAP000279-RA
AGAP000280	AGAP000280-RA
AGAP000281	AGAP000281-RA
AGAP000282	AGAP000282-RA
AGAP000283	AGAP000283-RA
AGAP000284	AGAP000284-RA
AGAP000285	AGAP000285-RA
AGAP000286	AGAP000286-RA
AGAP000287	AGAP000287-RA
AGAP000288	AGAP000288-RA
AGAP000289	AGAP000289-RA
AGAP000290	AGAP000290-RA
AGAP000291	AGAP000291-RA
AGAP000292	AGAP000292-RA
AGAP000293	AGAP000293-RA
AGAP000294	AGAP000294-RA
AGAP000295	AGAP000295-RA
AGAP000296	AGAP000296-RA
AGAP000297	AGAP000297-RA
AGAP000298	AGAP000298-RA
AGAP000299	AGAP000299-RA
AGAP000300	AGAP000300-RA
AGAP000301	AGAP000301-RA
AGAP000302	AGAP000302-RA
AGAP000303	AGAP000303-RA
AGAP000304	AGAP000304-RA
AGAP000305	AGAP000305-RA
AGAP000306	AGAP000306-RA
AGAP000307	AGAP000307-RA
AGAP000308	AGAP000308-RA
AGAP000309	AGAP000309-RA
AGAP000310	AGAP000310-RA
AGAP000311	AGAP000311-RA
AGAP000312	AGAP000312-RA
AGAP000313	AGAP000313-RA
AGAP000314	AGAP000314-RA
AGAP000315	AGAP000315-RA
AGAP000316	AGAP000316-RA
AGAP000317	AGAP000317-RA
AGAP000318	AGAP000318-RA
AGAP000319	AGAP000319-RA
AGAP000320	AGAP000320-RA
AGAP000321	AGAP000321-RA
AGAP000322	AGAP000322-RA
AGAP000323	AGAP000323-RA
AGAP000324	AGAP000324-RA
AGAP000325	AGAP000325-RA
AGAP000326	AGAP000326-RA
AGAP000327	AGAP000327-RA
AGAP000328	AGAP000328-RA
AGAP000329	AGAP000329-RA
AGAP000330	AGAP000330-RA
AGAP000331	AGAP000331-RA
AGAP000332	AGAP000332-RA
AGAP000333	AGAP000333-RA
AGAP000334	AGAP000334-RA
AGAP000335	AGAP000335-RA
AGAP000336	AGAP000336-RA
AGAP000337	AGAP000337-RA
AGAP000338	AGAP000338-RA
AGAP000339	AGAP000339-RA
AGAP000340	AGAP000340-RA
AGAP000341	AGAP000341-RA
AGAP000342	AGAP000342-RA
AGAP000343	AGAP000343-RA
AGAP000344	AGAP000344-RA
AGAP000345	AGAP000345-RA
AGAP000346	AGAP000346-RA
AGAP000347	AGAP000347-RA
AGAP000348	AGAP000348-RA
AGAP000349	AGAP000349-RA
AGAP000350	AGAP000350-RA
AGAP000351	AGAP000351-RB
AGAP000351	AGAP000351-RA
AGAP000352	AGAP000352-RA
AGAP000353	AGAP000353-RA
AGAP000354	AGAP000354-RB
AGAP000354	AGAP000354-RA
AGAP000355	AGAP000355-RA
AGAP000356	AGAP000356-RA
AGAP000357	AGAP000357-RA
AGAP000358	AGAP000358-RA
AGAP000359	AGAP000359-RA
AGAP000360	AGAP000360-RA
AGAP000361	AGAP000361-RA
AGAP000362	AGAP000362-RA
AGAP000363	AGAP000363-RA
AGAP000364	AGAP000364-RA
AGAP000365	AGAP000365-RA
AGAP000366	AGAP000366-RA
AGAP000367	AGAP000367-RA
AGAP000368	AGAP000368-RA
AGAP000369	AGAP000369-RA
AGAP000370	AGAP000370-RA
AGAP000371	AGAP000371-RA
AGAP000372	AGAP000372-RA
AGAP000373	AGAP000373-RB
AGAP000373	AGAP000373-RA
AGAP000374	AGAP000374-RA
AGAP000375	AGAP000375-RA
AGAP000376	AGAP000376-RA
AGAP000377	AGAP000377-RA
AGAP000378	AGAP000378-RA
AGAP000379	AGAP000379-RA
AGAP000380	AGAP000380-RA
AGAP000381	AGAP000381-RB
AGAP000381	AGAP000381-RA
AGAP000382	AGAP000382-RA
AGAP000383	AGAP000383-RA
AGAP000384	AGAP000384-RA
AGAP000385	AGAP000385-RA
AGAP000386	AGAP000386-RA
AGAP000387	AGAP000387-RA
AGAP000388	AGAP000388-RA
AGAP000389	AGAP000389-RA
AGAP000390	AGAP000390-RA
AGAP000391	AGAP000391-RA
AGAP000392	AGAP000392-RA
AGAP000393	AGAP000393-RA
AGAP000394	AGAP000394-RA
AGAP000395	AGAP000395-RA
AGAP000396	AGAP000396-RA
AGAP000397	AGAP000397-RA
AGAP000398	AGAP000398-RA
AGAP000399	AGAP000399-RA
AGAP000400	AGAP000400-RA
AGAP000401	AGAP000401-RA
AGAP000402	AGAP000402-RA
AGAP000403	AGAP000403-RA
